Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,27.57950191570881,2021,3,17,2021-03,1
2021-03-18,24.923132183908045,2021,3,18,2021-03,1
2021-03-19,25.013908983736567,2021,3,19,2021-03,1
2021-03-20,24.883381226053643,2021,3,20,2021-03,1
2021-03-21,27.87646338867603,2021,3,21,2021-03,1
2021-03-22,27.6815686707928,2021,3,22,2021-03,1
2021-03-23,26.34674329501916,2021,3,23,2021-03,1
2021-03-24,26.73299808429119,2021,3,24,2021-03,1
2021-03-25,27.761733716475092,2021,3,25,2021-03,1
2021-03-26,28.151819923371644,2021,3,26,2021-03,1
2021-03-27,28.121886973180075,2021,3,27,2021-03,1
2021-03-28,29.145593869731805,2021,3,28,2021-03,1
2021-03-29,30.660919540229894,2021,3,29,2021-03,1
2021-03-30,30.108237547892717,2021,3,30,2021-03,1
2021-03-31,30.64846743295019,2021,3,31,2021-03,1
2021-04-01,30.78657200079614,2021,4,1,2021-04,2
2021-04-02,30.873111197210385,2021,4,2,2021-04,2
2021-04-03,32.561302681992345,2021,4,3,2021-04,2
2021-04-04,33.68055555555556,2021,4,4,2021-04,2
2021-04-05,31.166187739463602,2021,4,5,2021-04,2
2021-04-06,31.427686510518324,2021,4,6,2021-04,2
2021-04-07,31.754070881226056,2021,4,7,2021-04,2
2021-04-08,32.340277777777786,2021,4,8,2021-04,2
2021-04-09,33.498323754789276,2021,4,9,2021-04,2
2021-04-10,31.73922413793104,2021,4,10,2021-04,2
2021-04-11,32.171934865900376,2021,4,11,2021-04,2
2021-04-12,32.4580938697318,2021,4,12,2021-04,2
2021-04-13,34.71927396393545,2021,4,13,2021-04,2
2021-04-14,32.90820655848546,2021,4,14,2021-04,2
2021-04-15,33.1676245210728,2021,4,15,2021-04,2
2021-04-16,33.26772030651341,2021,4,16,2021-04,2
2021-04-17,36.82950191570882,2021,4,17,2021-04,2
2021-04-18,37.40014367816093,2021,4,18,2021-04,2
2021-04-19,34.29789272030651,2021,4,19,2021-04,2
2021-04-20,33.20474137931034,2021,4,20,2021-04,2
2021-04-21,33.290469348659,2021,4,21,2021-04,2
2021-04-22,33.27298850574712,2021,4,22,2021-04,2
2021-04-23,33.65014367816092,2021,4,23,2021-04,2
2021-04-24,34.029932950191565,2021,4,24,2021-04,2
2021-04-25,34.74329501915708,2021,4,25,2021-04,2
2021-04-26,33.23275862068965,2021,4,26,2021-04,2
2021-04-27,33.59578544061303,2021,4,27,2021-04,2
2021-04-28,33.754070881226056,2021,4,28,2021-04,2
2021-04-29,34.2727490421456,2021,4,29,2021-04,2
2021-04-30,36.42840038314177,2021,4,30,2021-04,2
2021-05-01,33.24233716475096,2021,5,1,2021-05,3
2021-05-02,33.456896551724135,2021,5,2,2021-05,3
2021-05-03,33.95426245210727,2021,5,3,2021-05,3
2021-05-04,33.575670498084285,2021,5,4,2021-05,3
2021-05-05,34.0955459770115,2021,5,5,2021-05,3
2021-05-06,33.933062880324556,2021,5,6,2021-05,3
2021-05-07,34.01595870793976,2021,5,7,2021-05,3
2021-05-08,35.06561302681992,2021,5,8,2021-05,3
2021-05-09,35.85368773946361,2021,5,9,2021-05,3
2021-05-10,34.630842446899536,2021,5,10,2021-05,3
2021-05-11,33.58372774397115,2021,5,11,2021-05,3
2021-05-12,33.65804597701149,2021,5,12,2021-05,3
2021-05-13,33.89728927203065,2021,5,13,2021-05,3
2021-05-14,34.31872605363985,2021,5,14,2021-05,3
2021-05-15,34.33405172413793,2021,5,15,2021-05,3
2021-05-16,39.052442528735625,2021,5,16,2021-05,3
2021-05-17,38.53958356582228,2021,5,17,2021-05,3
2021-05-18,33.5500478927203,2021,5,18,2021-05,3
2021-05-19,33.868534482758626,2021,5,19,2021-05,3
2021-05-20,33.727306218685534,2021,5,20,2021-05,3
2021-05-21,34.798132183908045,2021,5,21,2021-05,3
2021-05-22,34.58112945645821,2021,5,22,2021-05,3
2021-05-23,34.42744252873563,2021,5,23,2021-05,3
2021-05-24,33.59865900383142,2021,5,24,2021-05,3
2021-05-25,34.11446360153257,2021,5,25,2021-05,3
2021-05-26,33.67145593869732,2021,5,26,2021-05,3
2021-05-27,34.209291187739474,2021,5,27,2021-05,3
2021-05-28,35.25974265198403,2021,5,28,2021-05,3
2021-05-29,35.36306527393237,2021,5,29,2021-05,3
2021-05-30,33.53927203065135,2021,5,30,2021-05,3
2021-05-31,32.82902298850575,2021,5,31,2021-05,3
2021-06-01,33.160440613026815,2021,6,1,2021-06,4
2021-06-02,33.49856321839081,2021,6,2,2021-06,4
2021-06-03,33.87476053639847,2021,6,3,2021-06,4
2021-06-04,37.30986590038313,2021,6,4,2021-06,4
2021-06-05,33.541187739463595,2021,6,5,2021-06,4
2021-06-06,33.82686781609196,2021,6,6,2021-06,4
2021-06-07,34.20691570881226,2021,6,7,2021-06,4
2021-06-08,34.19143836253394,2021,6,8,2021-06,4
2021-06-09,34.20328993666432,2021,6,9,2021-06,4
2021-06-10,34.60039159341897,2021,6,10,2021-06,4
2021-06-11,34.83506825354833,2021,6,11,2021-06,4
